,interest_rate,repayment_period,credit_score,age,education,marital_status,loan_frequence,succ_frequence,payoff_frequence,overdue_times,baddle_overdue_times,income,house,house_loan,car,car_loan,company_type,company_scale,workcity,work_duration,credit_report,identity_authentication,job_authentication,income_authentication,site_authentication,topic,repay_result,loan_amount,avaiable_amount,total_loan_amount,need_to_payoff,overdue_amount
886,12.0,18,6,2,1,2,1,1,1,0,0,5,0,0,0,0,8,2,44,1,0,0,0,0,0,4.0,1.0,0.1922206441156782,-0.21395798100874744,-0.03684288785853897,-0.15631913823855415,-0.11469927775759996
891,13.2,36,6,2,2,1,1,1,1,0,0,4,1,1,0,0,8,1,37,1,0,0,0,0,0,4.0,1.0,-0.47244316818389376,-0.21395798100874744,-0.38339680581641916,-0.15631913823855415,-0.11469927775759996
896,13.2,36,6,3,2,2,1,1,1,0,0,4,1,1,1,0,18,1,52,1,0,0,0,0,0,2.0,1.0,0.032260058583001155,-0.21395798100874744,-0.12024590545836075,-0.15631913823855415,-0.11469927775759996
900,13.2,36,6,3,2,2,1,1,1,0,0,4,1,1,0,0,4,2,21,1,0,0,0,0,0,3.0,1.0,-0.1387322914691709,-0.21395798100874744,-0.20940085530644612,-0.15631913823855415,-0.11469927775759996
901,13.2,36,6,4,3,2,1,1,1,0,0,4,1,1,1,0,8,1,32,1,0,1,0,0,1,4.0,1.0,1.149226216181867,-0.21395798100874744,0.46213723467832585,-0.15631913823855415,-0.11469927775759996
902,12.0,18,6,4,2,2,1,1,1,0,0,5,0,0,0,0,8,2,44,1,0,0,0,0,0,3.0,1.0,0.7796621047787854,-0.21395798100874744,0.2694475043614962,-0.15631913823855415,-0.11469927775759996
906,15.0,12,1,2,1,2,5,3,3,12,0,7,1,0,1,0,8,2,37,2,0,0,0,0,0,2.0,1.0,0.7796621047787854,-0.21395798100874744,0.2694475043614962,-0.15631913823855415,-0.11469927775759996
911,12.6,24,6,2,2,2,1,1,1,0,0,3,1,0,0,0,18,1,22,1,0,1,0,0,1,2.0,1.0,0.7796621047787854,-0.21395798100874744,0.2694475043614962,-0.15631913823855415,-0.11469927775759996
914,12.0,18,6,3,1,2,1,1,1,0,0,5,1,0,0,0,18,1,13,1,0,0,0,0,0,4.0,1.0,1.149226216181867,-0.21395798100874744,0.46213723467832585,-0.15631913823855415,-0.11469927775759996
922,13.2,36,6,2,3,2,1,1,1,0,0,4,1,1,1,0,9,1,32,1,0,0,0,0,0,4.0,1.0,-0.16355376163803456,-0.21395798100874744,-0.22234270286503915,-0.15631913823855415,-0.11469927775759996
925,12.0,18,6,3,2,2,1,1,1,0,0,5,1,0,1,1,18,1,52,1,0,1,0,0,1,2.0,1.0,-0.737205516651773,0.8343236097737239,-0.16194741425827164,1.1334721293408767,1.0266210333567105
926,12.6,24,6,2,2,1,2,2,1,0,0,3,0,0,0,0,8,1,32,1,0,0,0,0,0,3.0,1.0,-0.930261395742935,0.5408047643546319,-0.6221019941193574,0.8388423504079262,2.344337673563579
927,12.6,24,6,2,1,1,1,1,1,0,0,3,0,0,0,0,19,1,11,1,0,0,0,0,0,4.0,1.0,-1.2887937426265215,-0.21395798100874744,-0.6652414859813341,-0.15631913823855415,-0.11469927775759996
928,13.2,36,6,4,3,2,1,1,1,0,0,5,1,0,1,0,4,1,11,1,0,1,0,0,1,3.0,1.0,-1.2060555087303093,0.12149212804164337,-0.7659003003259467,-0.15631913823855415,-0.11469927775759996
929,12.6,24,6,3,2,2,2,2,1,0,0,3,0,0,0,0,8,1,13,1,0,0,0,0,0,4.0,1.0,-0.04772023418333739,-0.21395798100874744,-0.16194741425827164,-0.15631913823855415,-0.11469927775759996
934,12.0,18,6,3,2,2,1,1,1,0,0,5,0,0,0,0,4,1,22,1,0,1,0,0,1,3.0,1.0,-0.930261395742935,0.5408047643546319,-0.3632650429474967,-0.0716423814118528,0.09453638532870086
935,13.2,36,6,3,2,2,1,1,1,0,0,3,0,0,0,0,15,1,21,1,0,0,0,0,0,4.0,1.0,-0.9026819844441976,0.5827360279859307,-0.6077221634986985,1.1194990671582525,3.037838421933777
936,13.2,36,6,3,2,3,1,1,1,0,0,4,1,1,0,0,8,1,50,1,0,1,0,0,1,6.0,1.0,-1.1508966861328345,0.20535465530424107,-0.7371406390846288,-0.15631913823855415,-0.11469927775759996
938,13.2,36,6,3,2,2,1,1,1,0,0,3,1,1,0,0,20,1,50,1,0,0,0,0,0,4.0,1.0,0.046049764232369866,-0.21395798100874744,-0.11305599014803129,-0.15631913823855415,-0.11469927775759996
940,12.0,18,6,4,1,2,1,1,1,0,0,6,0,0,0,0,18,1,32,1,0,0,0,0,0,4.0,1.0,1.5160323864550747,-0.21395798100874744,0.6533889819330896,-0.15631913823855415,-0.11469927775759996
941,13.2,36,6,4,1,2,1,1,1,0,0,3,1,1,1,0,18,1,32,1,0,0,0,0,0,4.0,1.0,-0.1387322914691709,-0.21395798100874744,-0.20940085530644612,-0.15631913823855415,-0.11469927775759996
942,12.0,18,6,3,3,2,1,1,1,0,0,6,0,0,0,0,18,2,44,1,0,1,0,0,1,4.0,1.0,0.06259741101161233,-0.21395798100874744,-0.10442809177563593,-0.15631913823855415,-0.11469927775759996
943,13.2,36,6,2,2,2,1,1,1,0,0,3,1,1,0,0,18,1,44,1,0,1,0,0,1,2.0,1.0,0.26668505462226927,-0.21395798100874744,0.0019826548172401405,-0.15631913823855415,-0.11469927775759996
944,12.0,18,6,3,2,3,1,1,1,0,0,6,1,0,1,1,12,2,32,1,0,1,0,0,1,4.0,1.0,1.5160323864550747,-0.21395798100874744,0.6533889819330896,-0.15631913823855415,-0.11469927775759996
946,12.0,18,6,3,1,2,1,1,1,0,0,5,0,0,0,0,19,1,44,1,0,0,0,0,0,2.0,1.0,0.06259741101161233,-0.21395798100874744,-0.10442809177563593,-0.15631913823855415,-0.11469927775759996
947,12.0,18,6,4,2,2,1,1,1,0,0,5,1,0,0,0,7,1,44,1,0,0,0,0,0,5.0,1.0,0.8789479854542401,3.199246878578979,1.4917331071175053,6.585978351745819,-0.11469927775759996
953,12.6,24,6,2,3,2,1,1,1,0,0,3,0,0,0,0,17,1,50,1,0,0,0,0,0,2.0,1.0,-0.844765220716849,-0.21395798100874744,-0.5775245191953147,-0.15631913823855415,-0.11469927775759996
955,13.2,36,6,4,3,2,1,1,1,0,0,3,1,1,0,0,9,1,21,1,0,0,0,0,0,4.0,1.0,1.5160323864550747,-0.21395798100874744,0.6533889819330896,-0.15631913823855415,-0.11469927775759996
956,12.0,18,6,4,2,2,1,1,1,0,0,7,0,0,1,0,18,2,21,1,0,1,0,0,1,4.0,1.0,-0.9854202183404099,0.7504610825111262,-0.044032803168868435,0.4750148624216922,-0.11469927775759996
957,12.0,18,6,3,1,2,1,1,1,0,0,4,1,0,1,0,8,2,37,1,0,1,0,0,1,4.0,1.0,0.046049764232369866,-0.21395798100874744,-0.11305599014803129,-0.15631913823855415,-0.11469927775759996
958,13.2,36,6,3,3,2,1,1,1,0,0,4,1,1,0,0,18,1,52,1,0,0,0,0,0,4.0,1.0,2.2965297262093443,-0.21395798100874744,1.0603381884977374,-0.15631913823855415,-0.11469927775759996
963,12.0,18,6,3,1,2,1,1,1,0,0,6,1,1,1,0,8,2,50,1,0,1,0,0,1,4.0,1.0,0.0074385884141374686,-0.21395798100874744,-0.1331877530169538,-0.15631913823855415,-0.11469927775759996
964,12.0,18,6,2,1,2,1,1,1,0,0,4,0,0,0,0,8,2,44,1,0,1,0,0,1,1.0,1.0,0.7796621047787854,-0.21395798100874744,0.2694475043614962,-0.15631913823855415,-0.11469927775759996
971,12.6,24,6,2,3,2,1,1,1,0,0,4,0,0,1,0,19,1,13,1,0,1,0,0,1,4.0,1.0,-0.1387322914691709,-0.21395798100874744,-0.20940085530644612,-0.15631913823855415,-0.11469927775759996
974,12.0,18,6,4,2,3,1,1,1,0,0,5,0,0,0,0,8,1,21,1,0,0,0,0,0,4.0,1.0,-0.1387322914691709,-0.21395798100874744,-0.20940085530644612,-0.15631913823855415,-0.11469927775759996
975,12.0,18,6,4,2,2,1,1,1,0,0,5,0,0,0,0,12,2,11,1,0,0,0,0,0,2.0,1.0,1.924207673676389,-0.21395798100874744,0.8662104751188417,-0.15631913823855415,-0.11469927775759996
976,13.2,36,6,2,3,1,1,1,1,0,0,5,1,1,1,1,8,1,37,1,0,0,0,0,0,2.0,1.0,0.046049764232369866,-0.21395798100874744,0.568547981271202,-0.15631913823855415,-0.11469927775759996
977,13.2,36,6,2,2,3,1,1,1,0,0,4,1,1,0,0,18,1,50,1,0,1,0,0,1,4.0,1.0,0.43216152241469385,-0.21395798100874744,0.08826163854119372,-0.15631913823855415,-0.11469927775759996
978,12.0,18,6,2,2,1,1,1,1,0,0,6,1,1,0,0,18,2,44,1,0,0,0,0,0,2.0,1.0,-0.6654990472750557,-0.21395798100874744,-0.48405562016103165,-0.15631913823855415,-0.11469927775759996
980,12.0,18,6,3,1,2,1,1,1,0,0,3,0,0,0,0,8,2,44,1,0,1,0,0,1,2.0,1.0,1.149226216181867,-0.21395798100874744,0.46213723467832585,-0.15631913823855415,-0.11469927775759996
981,12.0,18,6,4,2,2,1,1,1,0,0,4,0,0,0,0,19,2,12,1,0,1,0,0,1,4.0,1.0,-0.6654990472750557,-0.21395798100874744,-0.48405562016103165,-0.15631913823855415,-0.11469927775759996
982,12.0,18,6,4,2,2,1,1,1,0,0,3,0,0,0,0,18,1,37,1,0,1,0,0,1,2.0,1.0,-0.2821452302226055,-0.21395798100874744,-0.28417597453387256,-0.15631913823855415,-0.11469927775759996
996,12.6,24,6,2,2,3,1,1,1,0,0,4,0,0,1,0,18,1,32,1,0,1,0,0,1,2.0,1.0,-0.6654990472750557,-0.21395798100874744,-0.48405562016103165,-0.15631913823855415,-0.11469927775759996
997,13.2,36,6,2,2,2,1,1,1,0,0,4,1,1,0,0,18,2,44,1,0,1,0,0,1,3.0,1.0,0.046049764232369866,-0.21395798100874744,0.568547981271202,-0.15631913823855415,-0.11469927775759996
998,13.2,36,6,3,2,2,1,1,1,0,0,4,0,0,0,0,9,1,32,1,0,1,0,0,1,3.0,1.0,1.5160323864550747,-0.21395798100874744,0.6533889819330896,-0.15631913823855415,-0.11469927775759996
1001,12.0,18,6,3,3,2,1,1,1,0,0,5,1,0,1,0,15,2,52,1,0,0,0,0,0,4.0,1.0,1.5491276800135596,-0.21395798100874744,0.6706447786778803,-0.15631913823855415,-0.11469927775759996
1002,12.0,18,6,3,2,2,1,1,1,0,0,6,1,0,0,0,20,1,11,1,0,1,0,0,1,4.0,1.0,-0.1387322914691709,-0.21395798100874744,-0.20940085530644612,-0.15631913823855415,-0.11469927775759996
1004,12.0,18,6,2,1,1,1,1,1,0,0,6,0,0,1,0,4,1,32,1,0,0,0,0,0,2.0,1.0,-0.2821452302226055,-0.21395798100874744,-0.28417597453387256,-0.15631913823855415,-0.11469927775759996
1005,12.6,24,6,2,2,3,1,1,1,0,0,3,0,0,1,0,3,1,22,1,0,0,0,0,0,2.0,1.0,0.2887485836612592,-0.21395798100874744,0.013486519313767284,-0.15631913823855415,-0.11469927775759996
1008,12.6,24,6,2,2,1,1,1,1,0,0,4,1,1,0,0,20,1,50,1,0,0,0,0,0,2.0,1.0,0.046049764232369866,-0.21395798100874744,-0.11305599014803129,-0.15631913823855415,-0.11469927775759996
1010,12.0,18,6,2,2,1,1,1,1,0,0,4,1,0,0,0,8,2,13,1,0,0,0,0,0,4.0,1.0,1.149226216181867,-0.21395798100874744,0.46213723467832585,-0.15631913823855415,-0.11469927775759996
1012,12.6,24,6,2,2,2,1,1,1,0,0,4,0,0,0,0,1,1,11,1,0,0,0,0,0,4.0,1.0,-0.6903205174439194,-0.21395798100874744,-0.4969974677196247,-0.15631913823855415,-0.11469927775759996
1013,12.6,24,6,2,1,2,1,1,1,0,0,4,0,0,0,0,18,1,44,1,0,1,0,0,1,6.0,1.0,-1.2612143313277842,0.037629600779045674,-0.7946599615672645,-0.15631913823855415,-0.11469927775759996
1015,12.6,24,6,2,3,1,1,1,1,0,0,4,0,0,0,0,15,1,32,1,0,1,0,0,1,1.0,1.0,-0.5993084601580859,-0.21395798100874744,-0.4495440266714502,-0.15631913823855415,-0.11469927775759996
1017,13.0,6,1,2,2,2,4,3,2,6,1,4,1,0,1,0,8,4,32,4,1,1,1,1,0,6.0,1.0,1.149226216181867,-0.21395798100874744,0.46213723467832585,-0.15631913823855415,-0.11469927775759996
1031,12.6,24,6,2,2,1,1,1,1,0,0,4,0,0,0,0,18,1,52,1,0,0,0,0,0,1.0,1.0,-0.8751025731454601,0.6246672916172296,-0.5933423328780395,1.091009545930347,2.9674410178700876
1033,13.2,36,6,4,1,2,1,1,1,0,0,3,1,0,0,0,18,1,32,1,0,0,0,0,0,4.0,1.0,0.7796621047787854,-0.21395798100874744,1.132237341601032,-0.15631913823855415,-0.11469927775759996
1034,13.2,36,6,5,1,2,1,1,1,0,0,4,1,1,0,0,8,1,32,1,0,1,0,0,1,4.0,1.0,-1.1784760974315718,0.23889966620928016,-0.5962182990021713,0.4806848205429082,0.9700115459254408
1035,13.2,36,6,2,2,2,1,1,1,0,0,5,1,1,1,0,18,1,52,1,0,0,0,0,0,2.0,1.0,-0.32351434717071165,-0.21395798100874744,-0.3057457204648609,-0.15631913823855415,-0.11469927775759996
1037,12.0,18,6,4,3,2,2,2,1,0,0,5,1,1,1,0,20,1,37,1,0,0,0,0,0,2.0,1.0,1.5160323864550747,-0.21395798100874744,0.6533889819330896,-0.15631913823855415,-0.11469927775759996
1038,13.2,36,6,2,2,2,1,1,1,0,0,5,1,1,0,0,8,1,32,1,0,1,0,0,1,4.0,1.0,-0.6654990472750557,-0.21395798100874744,-0.48405562016103165,-0.15631913823855415,-0.11469927775759996
1039,12.0,18,6,3,3,3,1,1,1,0,0,4,0,0,0,0,20,1,52,1,0,0,0,0,0,3.0,1.0,-0.2490499366641206,-0.21395798100874744,-0.26692017778908184,-0.15631913823855415,-0.11469927775759996
1040,12.6,24,6,3,1,3,1,1,1,0,0,4,0,0,0,0,2,1,13,1,0,1,0,0,1,2.0,1.0,-0.6654990472750557,-0.21395798100874744,-0.48405562016103165,-0.15631913823855415,-0.11469927775759996
1042,12.6,24,6,2,2,1,1,1,1,0,0,3,0,0,0,0,18,1,11,1,0,0,0,0,0,2.0,1.0,-0.1387322914691709,-0.21395798100874744,-0.20940085530644612,-0.15631913823855415,-0.11469927775759996
1043,13.2,36,6,4,2,2,1,1,1,0,0,5,1,1,0,0,6,1,50,1,0,1,0,0,1,4.0,1.0,1.149226216181867,-0.21395798100874744,0.46213723467832585,-0.15631913823855415,-0.11469927775759996
1045,12.6,24,6,4,2,2,1,1,1,0,0,3,0,0,0,0,15,1,52,1,0,1,0,0,1,4.0,1.0,1.5160323864550747,-0.21395798100874744,0.6533889819330896,-0.15631913823855415,-0.11469927775759996
1046,12.6,24,6,3,2,2,1,1,1,0,0,5,0,0,1,0,8,1,32,1,0,0,0,0,0,4.0,1.0,1.149226216181867,-0.21395798100874744,0.46213723467832585,-0.15631913823855415,-0.11469927775759996
1047,12.0,18,6,4,2,2,1,1,1,0,0,4,1,0,0,0,8,2,32,1,0,1,0,0,1,4.0,1.0,0.8899797499737351,-0.21395798100874744,0.8734003904291713,-0.15631913823855415,-0.11469927775759996
1048,12.0,18,6,4,2,2,1,1,1,0,0,6,0,0,1,0,8,2,32,1,0,0,0,0,0,4.0,1.0,-0.6654990472750557,-0.21395798100874744,-0.48405562016103165,-0.15631913823855415,-0.11469927775759996
1049,12.0,18,6,3,1,2,1,1,1,0,0,7,0,0,1,0,18,1,50,1,0,1,0,0,1,2.0,1.0,1.5160323864550747,-0.21395798100874744,0.6533889819330896,-0.15631913823855415,-0.11469927775759996
1050,12.6,24,6,4,2,2,1,1,1,0,0,4,0,0,1,0,18,1,37,1,0,1,0,0,1,4.0,1.0,-0.5689711077294748,2.4193253750368204,0.4693271499886553,2.2792539129412552,-0.11469927775759996
1051,12.0,18,6,2,2,2,1,1,1,0,0,5,1,0,1,1,18,1,13,1,0,1,0,0,1,2.0,1.0,1.5160323864550747,-0.21395798100874744,0.6533889819330896,-0.15631913823855415,-0.11469927775759996
1052,12.0,18,6,2,2,2,1,1,1,0,0,5,0,0,1,0,18,1,13,1,0,0,0,0,0,2.0,1.0,-0.05323611644308487,-0.21395798100874744,-0.16482338038240343,-0.15631913823855415,-0.11469927775759996
1053,12.6,24,6,3,1,2,1,1,1,0,0,4,0,0,0,0,18,1,13,1,0,0,0,0,0,1.0,1.0,-1.2060555087303093,0.12149212804164337,-0.7659003003259467,-0.15631913823855415,-0.11469927775759996
1054,13.2,36,6,4,2,2,1,1,1,0,0,4,1,1,1,0,12,1,21,1,0,0,0,0,0,4.0,1.0,-1.0129996296391472,-0.21395798100874744,-0.6652414859813341,-0.15631913823855415,-0.11469927775759996
1056,12.0,18,6,4,2,2,1,1,1,0,0,3,0,0,0,0,18,1,21,1,0,0,0,0,0,4.0,1.0,-1.1508966861328345,0.389852215281956,-0.5645826716367217,-0.15631913823855415,-0.11469927775759996
1057,13.2,36,6,4,2,2,1,1,1,0,0,3,1,1,1,0,12,1,32,1,0,1,0,0,1,4.0,1.0,-1.2887937426265215,-0.0043016628522531755,-0.5933423328780395,-0.15631913823855415,-0.11469927775759996
1058,12.0,18,6,3,3,3,1,1,1,0,0,3,1,1,1,1,19,1,13,1,0,0,0,0,0,2.0,1.0,-0.8751025731454601,0.5827360279859307,-0.3201255510855199,1.5259909716754319,-0.11469927775759996
1059,12.6,24,6,3,3,2,2,2,1,0,0,3,0,0,0,0,2,1,32,1,0,0,0,0,0,6.0,1.0,0.22807387880403687,-0.21395798100874744,-0.01814910805168236,-0.15631913823855415,-0.11469927775759996
1060,12.0,18,6,4,3,2,1,1,1,0,0,6,1,0,1,0,18,2,37,1,0,1,0,0,1,2.0,1.0,-0.7096261053530356,-0.21395798100874744,-0.1331877530169538,-0.15631913823855415,-0.11469927775759996
1061,12.0,18,6,2,2,3,1,1,1,0,0,6,1,0,0,0,18,1,50,1,0,0,0,0,0,4.0,1.0,-0.8751025731454601,-0.21395798100874744,-0.3057457204648609,-0.15631913823855415,-0.11469927775759996
1064,13.2,36,6,2,2,2,1,1,1,0,0,4,1,1,1,0,20,1,32,1,0,1,0,0,1,4.0,1.0,0.4128559345055776,-0.21395798100874744,0.07819575710673246,-0.15631913823855415,-0.11469927775759996
1065,13.2,36,6,4,2,2,1,1,1,0,0,5,1,0,0,0,13,2,35,1,0,0,0,0,0,4.0,1.0,-0.2821452302226055,-0.21395798100874744,-0.28417597453387256,-0.15631913823855415,-0.11469927775759996
1066,12.0,18,6,4,1,2,1,1,1,0,0,5,1,0,1,1,8,2,50,1,0,1,0,0,1,4.0,1.0,1.5160323864550747,-0.21395798100874744,0.6533889819330896,-0.15631913823855415,-0.11469927775759996
1067,12.0,18,6,2,2,2,1,1,1,0,0,3,0,0,0,0,18,1,53,1,0,0,0,0,0,2.0,1.0,0.4128559345055776,-0.21395798100874744,0.07819575710673246,-0.15631913823855415,-0.11469927775759996
1068,12.6,24,6,3,2,2,1,1,1,0,0,4,0,0,1,0,18,1,22,1,0,0,0,0,0,6.0,1.0,-0.6654990472750557,-0.21395798100874744,-0.48405562016103165,-0.15631913823855415,-0.11469927775759996
1069,12.6,24,6,2,2,1,1,1,1,0,0,4,0,0,0,0,12,1,21,1,0,0,0,0,0,2.0,1.0,-0.6654990472750557,-0.21395798100874744,-0.48405562016103165,-0.15631913823855415,-0.11469927775759996
1071,12.0,18,6,3,2,2,1,1,1,0,0,5,0,0,0,0,18,1,52,1,0,1,0,0,1,4.0,1.0,0.9285909257919676,-0.21395798100874744,0.34709858971305446,-0.15631913823855415,-0.11469927775759996
1072,13.2,36,6,3,2,2,1,1,1,0,0,3,1,1,0,0,20,1,50,1,0,0,0,0,0,4.0,1.0,1.1768056274806042,-0.21395798100874744,0.4765170652989848,-0.15631913823855415,-0.11469927775759996
1073,12.0,18,6,4,1,2,1,1,1,0,0,3,0,0,0,0,18,1,44,1,0,0,0,0,0,4.0,1.0,0.7796621047787854,-0.21395798100874744,0.2694475043614962,-0.15631913823855415,-0.11469927775759996
1074,12.6,24,6,3,2,3,1,1,1,0,0,3,0,0,0,0,2,1,22,1,0,1,0,0,1,2.0,1.0,-0.5689711077294748,-0.21395798100874744,-0.43372621298872543,-0.15631913823855415,-0.11469927775759996
1078,12.6,24,6,2,1,2,1,1,1,0,0,4,0,0,0,0,8,1,37,1,0,0,0,0,0,3.0,1.0,0.633491224895477,-0.21395798100874744,0.1932344020720039,-0.15631913823855415,-0.11469927775759996
1082,13.2,36,6,3,1,3,1,1,1,0,0,6,1,1,0,0,2,1,50,1,0,1,0,0,1,2.0,1.0,-0.2821452302226055,-0.21395798100874744,-0.28417597453387256,-0.15631913823855415,-0.11469927775759996
1083,12.0,18,6,1,2,2,1,1,1,0,0,4,0,0,1,0,8,1,32,1,0,0,0,0,0,1.0,1.0,0.4128559345055776,-0.21395798100874744,0.07819575710673246,-0.15631913823855415,-0.11469927775759996
1085,13.2,36,6,2,3,1,1,1,1,0,0,3,1,1,0,0,15,1,32,1,0,0,0,0,0,4.0,1.0,1.5160323864550747,-0.21395798100874744,0.6533889819330896,-0.15631913823855415,-0.11469927775759996
1086,12.0,18,6,4,2,3,1,1,1,0,0,7,1,0,0,0,4,1,11,1,0,0,0,0,0,4.0,1.0,1.149226216181867,3.7695120639646436,1.8282211436409241,5.480879914971383,-0.11469927775759996
1087,13.2,36,6,2,2,1,1,1,1,0,0,3,1,1,0,0,18,1,21,1,0,0,0,0,0,4.0,1.0,0.3190859360898704,-0.21395798100874744,0.029304332996492106,-0.15631913823855415,-0.11469927775759996
1089,12.0,18,6,4,1,2,1,1,1,0,0,5,1,0,1,1,7,1,37,1,0,0,0,0,0,4.0,1.0,0.046049764232369866,-0.21395798100874744,-0.11305599014803129,-0.15631913823855415,-0.11469927775759996
1091,12.6,24,6,2,2,2,1,1,1,0,0,4,0,0,0,0,8,1,35,1,0,0,0,0,0,4.0,1.0,1.149226216181867,-0.21395798100874744,0.46213723467832585,-0.15631913823855415,-0.11469927775759996
1092,12.0,18,6,2,2,1,1,1,1,0,0,4,0,0,0,0,15,2,11,1,0,1,0,0,1,2.0,1.0,-0.1387322914691709,-0.21395798100874744,0.17022667307894962,-0.15631913823855415,-0.11469927775759996
1093,12.0,18,6,4,1,2,1,1,1,0,0,6,1,1,0,0,1,1,32,1,0,1,0,0,1,4.0,1.0,-0.6654990472750557,-0.21395798100874744,-0.48405562016103165,-0.15631913823855415,-0.11469927775759996
1094,12.0,18,6,2,2,2,1,1,1,0,0,3,0,0,0,0,20,1,52,1,0,0,0,0,0,4.0,1.0,1.5160323864550747,-0.21395798100874744,0.6533889819330896,-0.15631913823855415,-0.11469927775759996
1095,13.2,36,6,3,1,2,1,1,1,0,0,4,1,1,0,0,1,1,21,1,0,1,0,0,1,2.0,1.0,-1.2887937426265215,-0.21395798100874744,-0.7227608084639698,-0.15631913823855415,-0.11469927775759996
1122,15.0,12,2,3,3,2,5,2,1,0,0,4,0,0,0,0,12,4,44,3,1,1,0,0,0,6.0,1.0,1.5160323864550747,-0.21395798100874744,0.6533889819330896,-0.15631913823855415,-0.11469927775759996
1137,13.0,6,3,3,4,2,4,3,3,0,0,4,0,0,0,0,8,4,37,2,0,0,0,0,0,5.0,1.0,1.5160323864550747,-0.21395798100874744,0.6533889819330896,-0.15631913823855415,-0.11469927775759996
1141,10.0,3,1,2,1,1,9,4,3,7,0,3,1,0,0,0,14,3,33,2,0,0,0,0,0,2.0,1.0,-1.1784760974315718,0.16342339167294223,-0.7515204697052877,-0.15631913823855415,-0.11469927775759996
1156,15.0,12,1,2,3,1,1,1,1,0,0,4,1,0,0,0,17,4,42,1,0,1,0,0,0,4.0,1.0,-1.123317274834097,0.24728591893553992,-0.7227608084639698,0.30069314888113435,1.0145748290646133
1158,15.0,12,2,3,2,2,3,2,2,1,0,7,1,1,1,0,18,3,44,3,0,0,0,0,0,6.0,1.0,-1.2612143313277842,0.037629600779045674,-0.7946599615672645,0.36152254624949076,1.1648838367602727
1182,15.0,12,1,3,2,3,2,1,0,10,1,2,0,0,0,0,14,2,42,4,0,0,0,0,0,5.0,0.0,,,,,
1219,11.0,6,4,2,2,2,9,7,7,6,0,3,1,0,1,0,16,4,14,4,0,0,0,0,0,4.0,1.0,,,,,
1223,11.0,12,6,3,2,2,1,1,1,0,0,5,0,0,0,0,19,2,13,2,0,1,0,0,1,6.0,1.0,,,,,
1224,12.0,18,6,4,3,2,1,1,1,0,0,6,0,0,0,0,19,2,13,2,0,1,0,0,1,1.0,1.0,,,,,
1225,12.0,18,6,4,2,2,1,1,1,0,0,5,0,0,0,0,8,2,33,2,0,0,0,0,0,1.0,1.0,,,,,
1226,12.0,18,6,3,2,2,1,1,1,0,0,5,0,0,0,0,18,2,61,2,0,1,0,0,1,2.0,1.0,,,,,
1228,12.0,18,6,3,2,2,1,1,1,0,0,6,0,0,0,0,2,2,41,2,0,0,0,0,0,2.0,1.0,,,,,
1252,11.0,6,2,2,3,2,7,5,5,0,0,6,1,1,1,0,0,0,32,4,0,0,0,0,0,3.0,1.0,,,,,
1269,12.0,18,6,4,3,3,1,1,1,0,0,7,1,1,1,1,20,2,62,1,0,0,0,0,0,4.0,1.0,,,,,
1270,12.0,18,6,2,1,1,1,1,1,0,0,4,0,0,1,0,20,2,32,1,0,0,0,0,0,3.0,1.0,,,,,
1272,12.0,18,6,3,3,2,1,1,1,0,0,7,1,0,0,0,18,2,22,1,0,1,0,0,1,2.0,1.0,,,,,
1274,12.6,24,6,2,2,1,1,1,1,0,0,4,0,0,0,0,4,1,11,1,0,0,0,0,0,4.0,1.0,,,,,
1275,12.0,18,6,3,2,2,1,1,1,0,0,4,0,0,1,1,19,1,13,1,0,1,0,0,1,4.0,1.0,,,,,
1276,12.0,18,6,3,3,2,1,1,1,0,0,5,0,0,0,0,8,2,11,1,0,0,0,0,0,4.0,1.0,,,,,
1297,13.2,36,6,3,2,2,1,1,1,0,0,6,1,1,0,0,9,1,35,1,0,0,0,0,0,4.0,1.0,,,,,
1298,13.2,36,6,2,2,2,1,1,1,0,0,4,1,1,1,0,2,1,22,1,0,0,0,0,0,2.0,1.0,,,,,
1299,12.6,24,6,2,2,2,1,1,1,0,0,3,0,0,0,0,8,1,32,1,0,1,0,0,1,2.0,1.0,,,,,
1304,12.6,24,6,2,3,1,1,1,1,0,0,4,0,0,0,0,3,1,11,1,0,0,0,0,0,2.0,1.0,,,,,
1305,12.6,24,6,3,2,2,1,1,1,0,0,4,0,0,1,0,18,1,13,1,0,0,0,0,0,1.0,1.0,,,,,
1323,10.0,3,1,2,1,2,6,1,1,2,0,4,1,0,1,0,7,2,34,2,0,0,0,0,0,5.0,1.0,,,,,
1330,11.0,6,1,2,1,1,6,5,4,11,1,3,1,1,0,0,18,4,33,2,0,0,0,0,0,4.0,1.0,,,,,
1371,11.0,12,6,4,2,2,1,1,1,0,0,5,0,0,0,0,19,2,44,2,0,1,0,0,1,6.0,1.0,,,,,
1372,11.0,12,6,4,3,2,1,1,1,0,0,6,0,0,0,0,19,2,43,2,0,1,0,0,1,3.0,1.0,,,,,
1392,12.6,24,6,2,2,1,1,1,1,0,0,4,0,0,0,0,18,1,21,1,0,1,0,0,1,4.0,1.0,,,,,
1393,12.0,18,6,5,3,2,1,1,1,0,0,7,1,0,1,0,20,2,52,1,0,1,0,0,1,2.0,1.0,,,,,
1396,12.0,18,6,2,1,1,1,1,1,0,0,3,0,0,1,0,8,2,44,1,0,1,0,0,1,4.0,1.0,,,,,
