,interest_rate,repayment_period,credit_score,age,education,marital_status,loan_frequence,succ_frequence,payoff_frequence,overdue_times,baddle_overdue_times,income,house,house_loan,car,car_loan,company_type,company_scale,workcity,work_duration,credit_report,identity_authentication,job_authentication,income_authentication,site_authentication,topic,repay_result,loan_amount,avaiable_amount,total_loan_amount,need_to_payoff,overdue_amount
598,12.0,18,6,4,2,2,1,1,1,0,0,5,0,0,0,0,19,2,42,2,0,1,0,0,1,6.0,1.0,-0.1387322914691709,-0.21395798100874744,-0.20940085530644612,-0.15631913823855415,-0.11469927775759996
599,12.0,18,6,3,3,2,1,1,1,0,0,6,0,0,0,0,19,2,45,2,0,0,0,0,0,1.0,1.0,0.6721024007137094,-0.21395798100874744,0.2133661649409264,-0.15631913823855415,-0.11469927775759996
600,11.0,12,6,4,2,2,1,1,1,0,0,5,0,0,0,0,8,2,44,2,0,0,0,0,0,1.0,1.0,0.6721024007137094,-0.21395798100874744,0.2133661649409264,-0.15631913823855415,-0.11469927775759996
601,12.0,18,6,5,2,3,1,1,1,0,0,5,0,0,0,0,18,2,44,2,0,1,0,0,1,2.0,1.0,0.04329182310249612,-0.21395798100874744,-0.11449397321009719,-0.15631913823855415,-0.11469927775759996
602,12.0,18,6,3,3,2,1,1,1,0,0,5,0,0,0,0,18,2,44,2,0,1,0,0,1,2.0,1.0,-0.3759152286383128,-0.21395798100874744,-0.3330673986441129,-0.15631913823855415,-0.11469927775759996
603,11.0,12,6,2,2,2,1,1,1,0,0,6,0,0,0,0,1,2,44,2,0,1,0,0,1,2.0,1.0,-0.1387322914691709,-0.21395798100874744,-0.20940085530644612,-0.15631913823855415,-0.11469927775759996
639,15.0,12,2,4,1,2,5,3,3,12,0,7,1,1,1,0,8,2,37,4,0,0,0,0,0,3.0,1.0,-1.2060555087303093,0.12149212804164337,-0.5358230103954038,-0.15631913823855415,-0.11469927775759996
664,12.6,24,6,3,1,2,1,1,1,0,0,4,0,0,0,0,20,1,37,1,0,0,0,0,0,4.0,1.0,-0.3593675818590703,-0.21395798100874744,-0.32443950027171753,-0.15631913823855415,-0.11469927775759996
665,13.2,36,6,3,4,2,1,1,1,0,0,3,0,0,0,0,6,1,37,1,0,0,0,0,0,1.0,1.0,1.2871232726755542,-0.21395798100874744,0.5340363877816205,-0.15631913823855415,-0.11469927775759996
667,13.2,36,6,4,3,2,1,1,1,0,0,4,1,1,1,0,15,1,62,1,0,1,0,0,1,2.0,1.0,1.149226216181867,-0.21395798100874744,0.46213723467832585,-0.15631913823855415,-0.11469927775759996
669,12.6,24,6,2,3,1,1,1,1,0,0,4,0,0,0,0,2,1,32,1,0,1,0,0,1,4.0,1.0,-0.5110543440021261,-0.21395798100874744,-0.40352856868534165,-0.15631913823855415,-0.11469927775759996
670,12.6,24,6,3,3,2,1,1,1,0,0,3,1,0,1,1,4,1,32,1,0,1,0,0,1,4.0,1.0,0.7796621047787854,-0.21395798100874744,0.2694475043614962,-0.15631913823855415,-0.11469927775759996
671,12.0,18,6,5,2,2,1,1,1,0,0,7,1,0,1,0,8,2,32,1,0,1,0,0,1,2.0,1.0,-0.6930784585737931,-0.21395798100874744,-0.4984354507816906,-0.15631913823855415,-0.11469927775759996
672,13.2,36,6,4,3,2,1,1,1,0,0,3,1,1,0,0,6,1,21,1,0,0,0,0,0,4.0,1.0,-1.0405790409378848,0.3730797098294365,-0.6796213166019931,-0.15631913823855415,-0.11469927775759996
673,12.0,18,6,3,2,2,1,1,1,0,0,5,0,0,0,0,15,2,50,1,0,1,0,0,1,3.0,1.0,0.09845064569997097,-0.21395798100874744,-0.08573431196877933,-0.15631913823855415,-0.11469927775759996
674,13.2,36,6,2,2,2,1,1,1,0,0,4,0,0,1,1,20,1,32,1,0,0,0,0,0,4.0,1.0,0.718987399921563,-0.21395798100874744,0.23781187699604658,-0.15631913823855415,-0.11469927775759996
676,12.0,18,6,3,2,3,1,1,1,0,0,6,0,0,1,0,18,2,22,1,0,1,0,0,1,4.0,1.0,-0.6654990472750557,-0.21395798100874744,-0.48405562016103165,-0.15631913823855415,-0.11469927775759996
677,12.0,18,6,3,2,2,1,1,1,0,0,5,0,0,0,0,18,1,44,1,0,0,0,0,0,2.0,1.0,-0.028414646274221186,-0.21395798100874744,-0.1518815328238104,-0.15631913823855415,-0.11469927775759996
678,12.0,18,6,2,2,2,1,1,1,0,0,7,1,1,1,0,12,2,44,1,0,0,0,0,0,6.0,1.0,-0.06426788096257983,-0.21395798100874744,-0.170575312630667,-0.15631913823855415,-0.11469927775759996
689,12.6,24,6,2,2,1,1,1,1,0,0,4,0,0,0,0,2,1,44,1,0,1,0,0,1,4.0,1.0,-0.028414646274221186,-0.21395798100874744,-0.1518815328238104,-0.15631913823855415,-0.11469927775759996
690,12.0,18,6,2,2,2,1,1,1,0,0,5,0,0,1,0,8,2,44,1,0,0,0,0,0,4.0,1.0,-0.6654990472750557,-0.21395798100874744,-0.48405562016103165,-0.15631913823855415,-0.11469927775759996
694,12.6,24,6,3,1,3,1,1,1,0,0,4,0,0,0,0,18,1,44,1,0,0,0,0,0,2.0,1.0,1.149226216181867,-0.21395798100874744,0.46213723467832585,-0.15631913823855415,-0.11469927775759996
695,12.0,18,6,3,2,2,1,1,1,0,0,6,0,0,1,1,18,1,37,1,0,0,0,0,0,2.0,1.0,0.2887485836612592,-0.21395798100874744,0.013486519313767284,-0.15631913823855415,-0.11469927775759996
697,13.2,36,6,3,1,2,1,1,1,0,0,4,1,1,0,0,18,1,50,1,0,0,0,0,0,4.0,1.0,-0.1387322914691709,-0.21395798100874744,-0.20940085530644612,-0.15631913823855415,-0.11469927775759996
698,13.2,36,6,4,1,2,1,1,1,0,0,4,1,1,0,0,15,1,50,1,0,1,0,0,1,4.0,1.0,0.22807387880403687,-0.21395798100874744,-0.01814910805168236,-0.15631913823855415,-0.11469927775759996
703,12.6,24,6,4,2,1,1,1,1,0,0,3,0,0,0,0,8,1,21,1,0,0,0,0,0,4.0,1.0,1.149226216181867,-0.21395798100874744,0.46213723467832585,-0.15631913823855415,-0.11469927775759996
