,interest_rate,repayment_period,credit_score,age,education,marital_status,loan_frequence,succ_frequence,payoff_frequence,overdue_times,baddle_overdue_times,income,house,house_loan,car,car_loan,company_type,company_scale,workcity,work_duration,credit_report,identity_authentication,job_authentication,income_authentication,site_authentication,topic,borrow_result,loan_amount,avaiable_amount,total_loan_amount,need_to_payoff,overdue_amount
4909,13.0,12,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,-0.5251267416902382,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4910,13.0,12,1,2,2,2,1,0,0,0,0,5,1,0,1,0,18,1,62,4,0,0,0,0,0,5.0,0,0.3980582675127645,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4911,13.0,12,1,2,2,1,1,0,0,0,0,3,0,0,0,0,8,2,0,0,0,0,0,0,0,3.0,0,-0.5251267416902382,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4912,24.0,36,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0.3980582675127645,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4913,13.0,24,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0.9750488982646413,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4914,13.0,12,1,2,2,2,1,0,0,0,0,3,1,0,1,1,20,1,13,1,0,0,0,0,0,1.0,0,-0.6982239309158011,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4915,13.0,15,1,3,2,2,4,0,0,0,0,4,0,0,0,0,18,1,37,2,0,0,0,0,0,5.0,0,-0.40972861553986284,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4916,13.0,12,1,1,2,1,3,2,2,1,0,3,0,0,0,0,0,0,36,1,1,0,0,0,0,4.0,1,-0.6636044930706886,0.010208505361446098,-0.05590419023049445,-0.29284316198753574,-0.0772747905195149
4917,12.0,18,6,4,2,2,1,1,1,0,0,4,1,0,0,0,18,1,22,1,0,1,0,0,1,1.0,1,-0.06353423708873684,-0.3314537736561302,0.7749209892266973,-0.29284316198753574,-0.0772747905195149
4918,13.0,12,1,2,2,1,4,2,1,8,1,3,0,0,0,0,8,2,33,2,0,0,0,0,0,2.0,0,-0.6405248678406135,0.30916299950182535,0.3046425857603623,-0.1769683923371899,0.32115465702659707
4919,13.2,36,6,2,2,2,1,1,0,0,0,4,1,1,0,0,18,1,12,1,0,1,0,0,1,2.0,1,-0.03814664933565427,1.8822330758119163,0.8180298428777779,1.715822811943945,-0.0772747905195149
4920,13.2,36,6,2,3,1,1,1,1,0,0,4,1,1,1,0,7,1,37,1,0,1,0,0,1,2.0,1,-0.21701374486873604,-0.3314537736561302,0.5143083739724367,-0.29284316198753574,-0.0772747905195149
