webpage,loan_title,loan_description,loan_amount,interest_rate,repayment_period,loan_status,credit_score,age,education,marital_status,loan_frequence,succ_frequence,payoff_frequence,avaiable_amount,total_loan_amount,need_to_payoff,overdue_amount,overdue_times,baddle_overdue_times,income,house,house_loan,car,car_loan,company_type,company_scale,workcity,work_duration,credit_report,identity_authentication,job_authentication,income_authentication,site_authentication
http://www.we.com/loan/210716,扩大生产/经营,公司法人，现居辽宁省鞍山市，从事住宿和餐饮业行业，经营稳定，收入良好，贷款用于扩大生产/经营。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,25400,12,18,2,6,2,2,2,1,1,1,0,25400,0,0,0,0,3,0,0,0,0,19,1,21,1,0,1,0,0,1
http://www.we.com/loan/210717,购车,公司职员，现居辽宁省鞍山市，从事教育行业，工作收入稳定，贷款用于购车。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,48000,13.2,36,2,6,4,3,2,1,1,1,0,48000,0,0,0,0,3,1,0,0,0,15,1,21,1,0,0,0,0,0
http://www.we.com/loan/210718,装修,公司职员，现居江苏省南京市，从事交通运输、仓储和邮政业行业，工作收入稳定，贷款用于装修。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,46700,13.2,36,2,6,3,2,2,1,1,1,0,46700,0,0,0,0,3,1,1,1,0,2,1,32,1,0,1,0,0,1
http://www.we.com/loan/210719,扩大生产/经营,公司职员，现居辽宁省鞍山市，从事交通运输、仓储和邮政业行业，工作收入稳定，贷款用于扩大生产/经营。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,61500,13.2,36,1,6,4,2,2,1,1,0,61500,61500,18696,0,0,0,4,1,0,0,0,2,1,21,1,0,0,0,0,0
http://www.we.com/loan/210720,购车,公司职员，现居山东省潍坊市，从事建筑业行业，工作收入稳定，贷款用于购车。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,77800,13.2,36,1,6,2,1,1,1,1,0,77800,77800,23651.2,0,0,0,4,1,1,0,0,12,1,37,1,0,1,0,0,1
http://www.we.com/loan/210721,资金周转,公司法人，现居江苏省苏州市，从事建筑业行业，经营稳定，收入良好，贷款用于资金周转。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,50700,12,18,2,6,3,2,2,1,1,1,0,50700,0,0,0,0,6,0,0,1,1,12,2,32,1,0,0,0,0,0
http://www.we.com/loan/210722,装修,公司职员，现居上海省上海市，从事教育行业，工作收入稳定，贷款用于装修。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,73800,13.2,36,1,6,4,2,3,1,1,0,73800,73800,22435.2,0,0,0,4,0,0,1,0,15,1,31,1,0,1,0,0,1
http://www.we.com/loan/210723,日常生活消费,公司职员，现居河北省廊坊市，从事教育行业，工作收入稳定，贷款用于日常生活消费。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,37300,12.6,24,2,6,2,2,2,1,1,1,0,37300,0,0,0,0,3,0,0,0,0,15,1,13,1,0,0,0,0,0
http://www.we.com/loan/210724,采购材料,本公司已经和中建四局签订茅台学院给排水材料供应合同，采购给排水管道供给茅台学院,100000,10,3,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.we.com/loan/210725,借款信誉第一,借款信誉第一 本人急用 8号马上有钱了,3000,21,3,0,1,2,1,1,1,0,0,0,0,0,0,0,0,4,1,0,0,0,8,2,43,2,0,0,0,0,0
